iter	Passed	Remaining
921	5469	113168
922	5476	113182
923	5481	113169
924	5487	113165
925	5493	113155
926	5498	113141
927	5504	113126
928	5510	113117
929	5515	113101
930	5521	113088
931	5526	113075
932	5532	113061
933	5537	113047
934	5543	113031
935	5548	113015
936	5554	113006
937	5560	112995
938	5565	112982
939	5571	112966
940	5576	112953
941	5582	112942
942	5588	112929
943	5594	112923
944	5600	112920
945	5605	112910
946	5611	112897
947	5617	112888
948	5622	112870
949	5628	112858
950	5633	112843
951	5639	112842
952	5645	112828
953	5650	112814
954	5656	112813
955	5664	112834
956	5669	112825
957	5676	112836
958	5684	112859
959	5689	112850
960	5695	112837
961	5701	112828
962	5706	112814
963	5712	112808
964	5718	112809
965	5725	112818
966	5731	112803
967	5736	112791
968	5742	112786
969	5748	112774
970	5754	112766
971	5759	112751
972	5765	112739
973	5771	112730
974	5776	112718
975	5782	112704
976	5787	112693
977	5793	112679
978	5798	112668
979	5804	112663
980	5810	112652
981	5816	112647
982	5822	112638
983	5827	112626
984	5833	112615
985	5839	112605
986	5844	112591
987	5850	112581
988	5856	112568
989	5862	112571
990	5872	112646
991	5878	112637
992	5883	112625
993	5890	112635
994	5896	112624
995	5901	112611
996	5907	112602
997	5913	112592
998	5918	112579
999	5924	112566
1000	5930	112555
1001	5935	112537
1002	5941	112525
1003	5946	112514
1004	5952	112501
1005	5957	112489
1006	5963	112480
1007	5969	112470
1008	5975	112459
1009	5980	112453
1010	5986	112440
1011	5992	112429
1012	5997	112418
1013	6003	112406
1014	6008	112393
1015	6014	112379
1016	6020	112373
1017	6025	112361
1018	6031	112346
1019	6036	112332
1020	6042	112326
1021	6048	112313
1022	6054	112303
1023	6061	112320
1024	6068	112343
1025	6075	112353
1026	6081	112346
1027	6086	112336
1028	6092	112324
1029	6098	112312
1030	6103	112300
1031	6110	112302
1032	6115	112292
1033	6121	112278
1034	6126	112265
1035	6132	112254
1036	6138	112245
1037	6143	112232
1038	6149	112230
1039	6155	112227
1040	6161	112215
1041	6167	112204
1042	6172	112190
1043	6178	112179
1044	6184	112172
1045	6190	112169
1046	6196	112165
1047	6201	112156
1048	6207	112144
1049	6213	112130
1050	6218	112119
1051	6224	112108
1052	6230	112098
1053	6235	112084
1054	6241	112075
1055	6246	112064
1056	6252	112057
1057	6259	112070
1058	6267	112091
1059	6273	112089
1060	6280	112101
1061	6285	112088
1062	6291	112085
1063	6297	112072
1064	6302	112056
1065	6307	112040
1066	6315	112056
1067	6322	112072
1068	6328	112079
1069	6334	112066
1070	6340	112054
1071	6345	112044
1072	6351	112030
1073	6356	112021
1074	6362	112010
1075	6368	112004
1076	6374	111993
1077	6379	111981
1078	6385	111977
1079	6391	111969
1080	6396	111955
1081	6402	111950
1082	6409	111950
1083	6414	111940
1084	6420	111928
1085	6425	111912
1086	6431	111906
1087	6437	111894
1088	6442	111882
1089	6448	111871
1090	6453	111856
1091	6461	111886
1092	6467	111875
1093	6473	111872
1094	6480	111884
1095	6487	111905
1096	6493	111899
1097	6499	111896
1098	6505	111884
1099	6511	111875
1100	6516	111864
1101	6522	111856
1102	6528	111841
1103	6533	111827
1104	6539	111815
1105	6544	111801
1106	6550	111799
1107	6556	111790
1108	6562	111780
1109	6567	111769
1110	6573	111759
1111	6578	111745
1112	6584	111731
1113	6589	111718
1114	6595	111707
1115	6601	111697
1116	6606	111685
1117	6612	111676
1118	6618	111670
1119	6623	111661
1120	6629	111649
1121	6635	111637
1122	6640	111625
1123	6646	111614
1124	6651	111602
1125	6657	111592
1126	6665	111621
1127	6673	111648
1128	6681	111685
1129	6688	111697
1130	6695	111711
1131	6701	111706
1132	6707	111697
1133	6713	111685
1134	6718	111677
1135	6724	111667
1136	6730	111654
1137	6735	111644
1138	6741	111631
1139	6747	111626
1140	6752	111613
1141	6758	111600
1142	6763	111587
1143	6769	111577
1144	6775	111566
1145	6780	111560
1146	6786	111546
1147	6792	111535
1148	6797	111525
1149	6803	111513
1150	6808	111501
